state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.669  1.996  0.623  0.436  0.255  0.327  0.144  0.259
2Sing?Sym   3.385  0.042  0.459  0.521  0.400  0.248  0.142  0.231
3Sing?Sym   3.560  0.015  0.012  0.393  0.697  0.347  0.293  0.262
4Sing?Sym   3.887  0.027  0.466  0.618  0.406  0.226  0.147  0.174
5Sing?Sym   4.216  0.000  0.681  0.595  0.178  0.008  0.141  0.396
6Sing?Sym   4.232  0.000  0.005  0.310  0.825  0.423  0.170  0.267
7Sing?Sym   4.242  0.030  0.772  0.452  0.025  0.295  0.206  0.255
8Sing?Sym   4.261  0.033  0.645  0.400  0.237  0.373  0.121  0.229
9Sing?Sym   4.384  0.008  0.638  0.479  0.041  0.274  0.323  0.249
10Sing?Sym  4.453  0.008  0.438  0.054  0.399  0.858  0.164  0.089
11Sing?Sym  4.576  0.030  0.532  0.501  0.340  0.301  0.130  0.200
12Sing?Sym  4.608  0.000  0.433  0.016  0.386  0.443  0.181  0.541
13Sing?Sym  4.802  0.004  0.423  0.594  0.443  0.248  0.147  0.170
14Sing?Sym  4.862  0.023  0.091  0.475  0.633  0.347  0.277  0.179
15Sing?Sym  4.976  0.003  0.614  0.602  0.238  0.287  0.148  0.112
16Sing?Sym  5.067  0.000  0.703  0.803  0.166  0.008  0.131  0.190
17Sing?Sym  5.141  0.001  0.503  0.484  0.312  0.384  0.186  0.133
18Sing?Sym  5.297  0.026  0.213  0.365  0.465  0.447  0.323  0.190
19Sing?Sym  5.363  0.043  0.575  0.420  0.270  0.372  0.157  0.210
20Sing?Sym  5.389  0.026  0.217  0.335  0.539  0.537  0.245  0.129
