state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.669  1.996  1.022  1.679  2.536  0.594  2.459  0.295  1.028  1.086  6.331
2Sing?Sym   3.385  0.042  1.001  1.697  2.576  0.724  2.475  0.027  1.923  1.997  8.173
3Sing?Sym   3.560  0.015  1.002  2.076  2.339  0.673  2.196 -0.411  1.071  1.196  7.607
4Sing?Sym   3.887  0.027  1.018  1.625  2.405  0.428  1.949 -0.124  2.052  2.318  5.213
5Sing?Sym   4.216  0.000  1.000  1.631  1.947  0.527  1.930  0.340  1.022  1.074  5.116
6Sing?Sym   4.232  0.000  1.000  2.061  2.150  0.601  1.892 -0.208  1.014  1.046  5.337
7Sing?Sym   4.242  0.030  1.003  1.619  2.195  0.574  1.996  0.369  1.232  1.481  6.829
8Sing?Sym   4.261  0.033  1.002  1.653  2.460  0.584  2.344  0.353  1.980  2.122  6.904
9Sing?Sym   4.384  0.008  1.002  1.728  2.348  0.589  2.258  0.084  1.111  1.293  6.729
10Sing?Sym  4.453  0.008  1.001  1.881  1.996  0.650  1.745  0.308  1.280  1.554  8.748
11Sing?Sym  4.576  0.030  1.003  1.649  2.524  0.802  2.152  0.101  2.951  3.077  9.268
12Sing?Sym  4.608  0.000  1.000  2.136  2.376  0.718  2.334  0.777  1.011  1.040  6.872
13Sing?Sym  4.802  0.004  1.012  1.654  2.448  0.410  1.921 -0.146  2.456  3.256  5.233
14Sing?Sym  4.862  0.023  1.001  1.945  2.357  0.755  2.215 -0.482  1.347  1.651  9.673
15Sing?Sym  4.976  0.003  1.000  1.522  2.192  0.482  2.054 -0.024  1.622  2.121  6.772
16Sing?Sym  5.067  0.000  1.000  1.408  1.663  0.370  1.546 -0.041  1.119  1.256  5.346
17Sing?Sym  5.141  0.001  1.001  1.666  2.556  0.500  2.327 -0.033  2.062  2.804  6.649
18Sing?Sym  5.297  0.026  1.001  1.968  2.729  0.654  2.742 -0.283  2.482  3.309  7.439
19Sing?Sym  5.363  0.043  1.002  1.687  2.572  0.664  2.508  0.206  3.007  3.552  7.675
20Sing?Sym  5.389  0.026  1.001  1.911  2.459  0.596  2.353 -0.235  3.321  3.707  7.669
