state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.778  1.651  1.013  1.666  2.488  0.599  2.438  0.214  1.084  1.229  6.400
2Sing?Sym   3.204  0.000  1.001  1.828  2.721  0.663  2.694  0.373  1.010  1.037  5.211
3Sing?Sym   3.588  0.028  1.000  1.649  2.527  0.728  2.376  0.038  2.009  2.069  8.547
4Sing?Sym   3.682  0.022  1.003  2.043  2.228  0.627  2.118 -0.443  1.077  1.213  7.369
5Sing?Sym   3.693  0.000  1.001  1.923  2.904  0.655  2.897 -0.202  1.013  1.047  4.744
6Sing?Sym   3.940  0.009  1.017  1.562  2.322  0.391  1.817  0.011  2.216  2.679  4.733
7Sing?Sym   4.310  0.034  1.002  1.406  1.946  0.520  1.722  0.537  1.054  1.174  7.447
8Sing?Sym   4.351  0.000  1.000  1.792  2.736  0.606  2.632  0.254  1.593  1.968  5.358
9Sing?Sym   4.401  0.001  1.001  2.029  1.990  0.512  1.816 -0.148  1.134  1.325  5.194
10Sing?Sym  4.448  0.093  1.001  1.699  2.518  0.574  2.485  0.054  1.344  1.790  7.081
11Sing?Sym  4.454  0.006  1.002  1.533  2.258  0.545  2.197  0.225  1.514  1.824  6.164
12Sing?Sym  4.522  0.000  1.000  1.494  2.108  0.521  2.049  0.101  1.407  1.629  5.719
13Sing?Sym  4.596  0.004  1.000  1.849  2.210  0.650  2.052  0.040  1.826  2.117  8.681
14Sing?Sym  4.637  0.000  1.000  2.202  2.400  0.634  2.274 -0.249  1.023  1.077  6.324
15Sing?Sym  4.661  0.036  1.001  1.598  2.409  0.698  2.332  0.009  2.624  3.175  8.399
16Sing?Sym  4.784  0.252  1.005  1.784  2.552  0.511  2.394 -0.070  1.908  2.693  6.639
17Sing?Sym  4.839  0.105  1.003  1.874  2.415  0.731  2.270 -0.244  1.830  2.140  9.329
18Sing?Sym  4.879  0.000  1.000  2.084  2.452  0.724  2.440  0.749  1.054  1.151  6.760
19Sing?Sym  4.986  0.000  1.000  1.833  2.758  0.644  2.725 -0.376  1.043  1.123  5.614
20Sing?Sym  5.204  0.016  1.001  1.378  1.824  0.387  1.690 -0.061  1.726  2.299  6.549
