name,smiles string
O-IDTBR,CCCCCCCCCC1(C2=CC3=C(C=C2C4=C1C=C(S4)C5=CC=C(C6=NSN=C56)C=C7C(=O)N(C(=S)S7)CC)C(C8=C3SC(=C8)C9=CC=C(C1=NSN=C91)C=C1C(=O)N(C(=S)S1)CC)(CCCCCCCCC)CCCCCCCCC)CCCCCCCCC
O-IDTBR_cut,CCn%11c(=O)c(=Cc9ccc(c1cc3c(s1)c2cc8c(cc2C3C)c7sc(c5ccc(C=c4sc(=S)n(CC)c4=O)c6nsnc56)cc7C8C)c%10nsnc9%10)sc%11=S
