name,smiles string
ZC,CCc2c(C)c3c(c1ccccc1)c8[C@@H](C)[C@H](CCC(=O)OC)c7c5CC(=O)c6c(C)c4cc%10c(CC)c(C)c9cc2n3[Zn](n4c56)([n+]78)[n+]9%10
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
ZC,CCc2c(C)c3c(c1ccccc1)c8[C@@H](C)[C@H](CCC(=O)OC)c7c5CC(=O)c6c(C)c4cc%10c(CC)c(C)c9cc2n3[Zn](n4c56)([n+]78)[n+]9%10
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
ZC,CCc2c(C)c3c(c1ccccc1)c8[C@@H](C)[C@H](CCC(=O)OC)c7c5CC(=O)c6c(C)c4cc%10c(CC)c(C)c9cc2n3[Zn](n4c56)([n+]78)[n+]9%10
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
