state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.477  0.327  1.002  1.632  1.411  0.794  1.403  0.761  1.007  1.028  9.224
2Sing?Sym   2.986  0.861  1.010  1.566  2.109  0.508  2.101 -0.247  1.540  1.804  7.218
3Sing?Sym   3.340  0.041  1.027  1.622  2.141  0.236  1.512 -0.015  2.041  2.495  4.687
4Sing?Sym   3.394  0.327  1.005  1.720  1.854  0.572  1.816 -0.428  1.058  1.169  8.067
5Sing?Sym   3.489  0.002  1.000  1.859  1.545  0.376  1.457  0.209  1.689  1.885  6.547
6Sing?Sym   3.745  0.006  1.000  1.704  1.646  0.595  1.537  0.486  1.653  1.988  8.053
7Sing?Sym   3.881  0.004  1.000  1.698  1.906  0.470  1.847  0.146  1.191  1.433  7.359
8Sing?Sym   3.990  0.001  1.000  1.334  1.767  0.384  1.668  0.158  1.195  1.421  4.712
9Sing?Sym   4.161  0.003  1.000  1.776  1.671  0.416  1.581  0.310  1.973  2.167  6.320
10Sing?Sym  4.242  0.008  1.001  1.651  2.070  0.372  1.849  0.075  3.126  3.441  5.782
11Sing?Sym  4.281  0.038  1.001  1.536  2.173  0.420  2.017  0.097  2.802  3.225  5.861
12Sing?Sym  4.313  0.135  1.007  1.776  1.802  0.512  1.766 -0.305  2.143  2.613  7.552
13Sing?Sym  4.376  0.010  1.000  1.747  1.899  0.681  1.790  0.390  2.228  2.501  8.465
14Sing?Sym  4.461  0.076  1.003  1.784  1.846  0.541  1.849 -0.220  2.204  2.879  7.817
15Sing?Sym  4.481  0.055  1.003  1.828  1.888  0.425  1.789  0.075  3.108  3.661  6.410
16Sing?Sym  4.548  0.011  1.001  1.675  1.822  0.548  1.802  0.431  1.263  1.536  7.797
17Sing?Sym  4.635  0.010  1.000  1.892  1.924  0.486  1.820  0.094  2.090  2.492  6.793
18Sing?Sym  4.688  0.013  1.000  1.199  1.430  0.290  1.412  0.050  2.281  2.593  5.506
19Sing?Sym  4.828  0.037  1.000  1.707  1.831  0.676  1.756 -0.542  2.171  2.534  8.450
20Sing?Sym  4.870  0.046  1.002  1.477  2.095  0.524  2.090 -0.029  2.000  2.609  7.028
