state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.564  0.629  1.004  1.557  1.558  0.623  1.556  0.531  1.014  1.052  8.059
2Sing?Sym   3.109  0.409  1.002  1.542  1.962  0.549  1.944 -0.113  1.891  2.016  7.619
3Sing?Sym   3.414  0.294  1.015  1.566  1.962  0.201  1.460  0.044  2.200  2.554  5.170
4Sing?Sym   3.485  0.006  1.000  1.771  1.541  0.343  1.477  0.190  1.654  1.893  6.138
5Sing?Sym   3.724  0.099  1.000  1.566  1.936  0.623  1.831 -0.128  1.508  1.919  8.497
6Sing?Sym   3.805  0.004  1.000  1.508  1.996  0.425  1.952  0.043  1.339  1.705  6.338
7Sing?Sym   3.850  0.040  1.001  1.264  1.630  0.286  1.481 -0.117  1.355  1.725  5.582
8Sing?Sym   3.905  0.022  1.002  1.611  1.792  0.519  1.769  0.285  2.245  2.596  7.801
9Sing?Sym   4.004  0.008  1.000  1.568  1.732  0.504  1.740  0.381  2.052  2.505  7.956
10Sing?Sym  4.169  0.007  1.000  1.708  1.637  0.461  1.562  0.325  1.208  1.461  5.161
11Sing?Sym  4.175  0.004  1.003  1.408  1.922  0.420  1.877  0.088  1.855  2.457  6.924
12Sing?Sym  4.328  0.012  1.000  1.541  1.547  0.671  1.508  0.541  1.727  2.117  6.557
13Sing?Sym  4.375  0.027  1.001  1.694  1.716  0.452  1.700  0.174  2.018  2.254  6.804
14Sing?Sym  4.429  0.119  1.004  1.577  1.856  0.560  1.827  0.242  2.322  2.960  7.830
15Sing?Sym  4.454  0.025  1.003  1.547  1.817  0.606  1.758  0.308  1.945  2.614  7.818
16Sing?Sym  4.576  0.006  1.000  1.387  1.880  0.645  1.748  0.126  2.700  3.053  9.592
17Sing?Sym  4.583  0.022  1.002  1.407  1.925  0.457  1.912 -0.071  2.500  3.238  7.532
18Sing?Sym  4.609  0.010  1.000  1.394  1.879  0.716  1.609  0.153  2.250  2.538  9.780
19Sing?Sym  4.688  0.011  1.000  1.429  1.958  0.428  1.920  0.035  1.502  2.059  5.837
20Sing?Sym  4.728  0.019  1.000  1.510  1.778  0.541  1.790 -0.353  1.663  2.290  8.228
