state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.469  0.057  1.000  1.440  1.242  0.801  1.226  0.786  1.002  1.008  7.897
2Sing?Sym   3.254  0.744  1.016  1.388  1.899  0.276  1.609 -0.063  1.774  2.091  4.735
3Sing?Sym   3.461  0.072  1.014  1.554  1.836  0.424  1.803  0.285  1.974  2.260  5.493
4Sing?Sym   3.525  0.084  1.010  1.546  1.667  0.512  1.700  0.444  1.736  2.090  6.063
5Sing?Sym   3.577  0.084  1.002  1.483  1.476  0.682  1.469 -0.596  1.032  1.097  7.545
6Sing?Sym   3.687  0.001  1.000  1.825  1.411  0.313  1.397  0.152  1.960  2.098  4.853
7Sing?Sym   3.892  0.001  1.000  1.580  1.258  0.786  1.231  0.776  1.030  1.093  7.312
8Sing?Sym   4.027  0.001  1.000  1.200  1.470  0.336  1.372  0.278  1.042  1.122  4.041
9Sing?Sym   4.125  0.000  1.000  1.840  1.380  0.298  1.316  0.241  1.300  1.537  4.841
10Sing?Sym  4.306  0.008  1.002  1.882  1.264  0.213  1.266 -0.046  1.345  1.579  4.040
11Sing?Sym  4.411  0.074  1.003  1.741  1.611  0.380  1.559  0.188  1.334  1.677  5.449
12Sing?Sym  4.508  0.192  1.011  1.825  1.406  0.277  1.390  0.033  1.958  2.503  5.018
13Sing?Sym  4.601  0.009  1.000  1.330  1.698  0.547  1.636  0.316  1.512  1.806  6.427
14Sing?Sym  4.674  0.004  1.000  1.457  1.979  0.706  1.698 -0.055  2.135  2.334  7.266
15Sing?Sym  4.720  0.006  1.001  1.251  1.593  0.387  1.559 -0.176  2.159  2.425  5.697
16Sing?Sym  4.781  0.006  1.000  1.252  1.598  0.451  1.609  0.166  2.606  2.844  6.305
17Sing?Sym  4.845  0.007  1.000  1.443  1.668  0.627  1.621  0.441  2.102  2.791  7.284
18Sing?Sym  4.901  0.002  1.000  1.712  1.683  0.408  1.652  0.153  2.373  2.787  6.115
19Sing?Sym  5.016  0.058  1.002  1.378  1.832  0.447  1.801 -0.202  3.064  3.630  5.420
20Sing?Sym  5.030  0.015  1.000  1.435  1.730  0.656  1.622  0.384  2.239  2.920  7.220
