state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.454  0.000  1.000  1.515  1.035  0.966  1.034  0.966  1.000  1.002 10.397
2Sing?Sym   2.401  0.827  1.022  1.995  1.010  0.005  1.005  0.001  1.052  1.160  5.207
3Sing?Sym   2.841  0.001  1.000  1.726  1.493  0.547  1.333  0.545  1.001  1.006  9.480
4Sing?Sym   3.036  0.000  1.000  1.519  1.048  0.955  1.046  0.954  1.207  1.370 10.893
5Sing?Sym   3.044  0.000  1.000  1.545  1.102  0.907  1.093  0.906  1.175  1.326 11.487
6Sing?Sym   3.100  0.000  1.000  1.490  1.090  0.918  1.089  0.914  1.001  1.006  9.712
7Sing?Sym   3.199  0.000  1.000  1.943  1.126  0.113  1.114  0.107  1.057  1.158  6.339
8Sing?Sym   3.208  0.000  1.000  1.994  1.011  0.011  1.011  0.009  1.039  1.118  6.130
9Sing?Sym   3.367  0.000  1.002  1.998  1.004  0.004  1.004  0.000  1.212  1.427  4.704
10Sing?Sym  3.449  0.000  1.001  1.993  1.015  0.014  1.014  0.012  1.029  1.092  5.931
11Sing?Sym  3.464  0.000  1.000  2.000  1.001  0.001  1.001 -0.001  1.026  1.075  6.225
12Sing?Sym  3.543  0.000  1.000  1.514  1.038  0.964  1.037  0.963  1.001  1.007  9.888
13Sing?Sym  3.550  0.000  1.000  1.996  1.009  0.008  1.009  0.003  1.939  1.998  6.193
14Sing?Sym  3.568  0.000  1.000  1.984  1.033  0.032  1.033 -0.023  1.418  1.649  5.258
15Sing?Sym  3.597  0.016  1.002  1.925  1.169  0.150  1.151  0.135  1.441  1.709  5.203
16Sing?Sym  3.612  0.000  1.000  1.531  1.070  0.935  1.065  0.934  1.022  1.068 10.346
17Sing?Sym  3.753  0.001  1.000  1.966  1.072  0.067  1.069  0.055  1.069  1.174  5.879
18Sing?Sym  3.784  0.037  1.002  1.995  1.011  0.010  1.010  0.006  1.584  1.795  5.633
19Sing?Sym  3.878  0.231  1.011  1.662  1.809  0.058  1.109  0.033  3.114  3.617  3.879
20Sing?Sym  3.895  0.024  1.001  1.840  1.385  0.319  1.282  0.314  1.556  1.766  6.294
