state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   0.876  0.000  1.000  1.533  1.036  0.998  1.035  0.938  1.000  1.000 14.769
2Sing?Sym   2.214  0.858  1.031  2.001  1.009  0.005  1.005  0.001  1.052  1.153  5.281
3Sing?Sym   2.526  0.002  1.000  2.144  1.797  0.756  1.448 -0.284  1.010  1.036  8.758
4Sing?Sym   2.557  0.000  1.000  1.541  1.066  0.990  1.066  0.949  1.005  1.017 14.579
5Sing?Sym   2.576  0.000  1.000  1.553  1.147  0.968  1.142  0.978  1.001  1.004 13.827
6Sing?Sym   2.748  0.000  1.000  2.201  1.682  0.752  1.409 -0.397  1.005  1.019 10.426
7Sing?Sym   2.974  0.000  1.000  2.079  1.696  0.888  1.414 -0.153  1.006  1.022 11.852
8Sing?Sym   3.118  0.000  1.000  2.001  1.001  0.001  1.001  0.001  1.016  1.054  6.272
9Sing?Sym   3.124  0.000  1.000  1.534  1.038  0.998  1.037  0.940  1.000  1.000 14.501
10Sing?Sym  3.176  0.000  1.000  1.592  1.176  0.890  1.150  0.820  1.009  1.034 14.762
11Sing?Sym  3.193  0.000  1.000  1.975  1.282  0.217  1.225  0.059  1.047  1.146  8.141
12Sing?Sym  3.221  0.000  1.001  2.006  1.020  0.020  1.020 -0.007  1.169  1.385  5.042
13Sing?Sym  3.253  0.428  1.020  1.232  1.344  0.246  1.282  0.304  1.046  1.157  5.327
14Sing?Sym  3.308  0.000  1.000  2.001  1.002  0.002  1.002  0.001  1.039  1.121  6.299
15Sing?Sym  3.371  0.000  1.001  2.016  1.057  0.054  1.055  0.031  1.312  1.535  5.416
16Sing?Sym  3.392  0.000  1.000  2.002  1.011  0.010  1.009  0.005  1.927  2.007  6.232
17Sing?Sym  3.429  0.117  1.004  1.516  2.033  0.635  1.586  0.887  1.018  1.068  9.607
18Sing?Sym  3.433  0.007  1.001  1.991  1.033  0.032  1.032  0.023  1.240  1.463  6.047
19Sing?Sym  3.444  0.001  1.000  1.574  1.115  0.948  1.104  0.856  1.009  1.033 14.135
20Sing?Sym  3.558  0.026  1.001  2.036  1.096  0.088  1.089 -0.063  1.326  1.608  5.548
