state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   0.907  0.002  1.000  1.535  1.080  0.926  1.074  0.926  1.001  1.004 10.778
2Sing?Sym   2.209  0.959  1.029  1.986  1.028  0.010  1.011  0.004  1.075  1.212  5.282
3Sing?Sym   2.575  0.023  1.000  1.529  1.097  0.911  1.093  0.909  1.013  1.047 10.882
4Sing?Sym   2.642  0.318  1.004  1.482  1.239  0.802  1.243  0.784  1.065  1.165  9.673
5Sing?Sym   2.696  0.004  1.000  1.772  1.495  0.448  1.338  0.445  1.049  1.127  8.801
6Sing?Sym   3.092  0.000  1.000  1.672  1.419  0.652  1.299  0.648  1.029  1.097  9.069
7Sing?Sym   3.131  0.000  1.000  1.974  1.055  0.052  1.052  0.049  1.049  1.152  6.509
8Sing?Sym   3.147  0.001  1.000  1.541  1.097  0.911  1.090  0.910  1.026  1.079 10.224
9Sing?Sym   3.210  0.000  1.001  1.955  1.098  0.090  1.090  0.083  1.137  1.329  5.927
10Sing?Sym  3.248  0.000  1.000  1.617  1.287  0.762  1.225  0.760  1.029  1.095 11.179
11Sing?Sym  3.302  0.000  1.000  1.993  1.015  0.015  1.015  0.010  1.110  1.298  6.216
12Sing?Sym  3.334  0.174  1.009  1.548  1.880  0.292  1.630  0.238  2.326  2.654  7.255
13Sing?Sym  3.337  0.148  1.008  1.569  1.863  0.305  1.642  0.242  2.331  2.686  7.263
14Sing?Sym  3.350  0.012  1.001  1.908  1.204  0.123  1.141 -0.078  1.377  1.743  6.090
15Sing?Sym  3.401  0.008  1.000  1.972  1.057  0.023  1.025  0.012  2.064  2.251  6.237
16Sing?Sym  3.461  0.016  1.001  1.995  1.011  0.010  1.011  0.006  1.178  1.401  5.548
17Sing?Sym  3.590  0.033  1.001  1.953  1.102  0.094  1.095  0.083  1.443  1.732  5.676
18Sing?Sym  3.625  0.001  1.000  1.932  1.151  0.134  1.136  0.119  1.199  1.463  6.402
19Sing?Sym  3.731  0.002  1.000  1.596  1.234  0.802  1.193  0.800  1.298  1.589 10.753
20Sing?Sym  3.743  0.022  1.001  1.951  1.106  0.097  1.097  0.092  1.833  2.220  6.966
