state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.034  0.000  0.980  0.000  0.002  0.998  0.018  0.002
2Sing?Sym   2.214  0.914  0.003  0.002  1.025  1.025  0.003  0.003
3Sing?Sym   2.336  0.000  0.843  0.000  0.037  0.998  0.120  0.002
4Sing?Sym   2.575  0.001  0.389  0.000  0.239  0.997  0.373  0.003
5Sing?Sym   2.713  0.004  0.978  0.004  0.003  0.982  0.019  0.013
6Sing?Sym   2.725  0.033  0.978  0.039  0.003  0.887  0.019  0.073
7Sing?Sym   2.752  0.000  0.399  0.000  0.180  0.997  0.421  0.003
8Sing?Sym   2.840  0.000  0.932  0.000  0.014  0.998  0.054  0.002
9Sing?Sym   2.940  0.000  0.642  0.000  0.145  0.997  0.213  0.002
10Sing?Sym  2.958  0.000  0.986  0.000  0.003  0.998  0.011  0.002
11Sing?Sym  3.096  0.001  0.001  0.000  0.995  0.998  0.004  0.001
12Sing?Sym  3.174  0.001  0.023  0.000  0.920  0.996  0.058  0.004
13Sing?Sym  3.251  0.000  0.007  0.000  0.966  0.996  0.028  0.004
14Sing?Sym  3.274  0.001  0.980  0.001  0.002  0.995  0.018  0.004
15Sing?Sym  3.283  0.000  0.001  0.000  0.999  0.998  0.001  0.002
16Sing?Sym  3.319  0.929  0.976  0.883  0.010  0.066  0.022  0.058
17Sing?Sym  3.363  0.000  0.001  0.013  0.997  0.944  0.002  0.043
18Sing?Sym  3.390  0.001  0.003  0.002  0.986  0.993  0.011  0.005
19Sing?Sym  3.471  0.015  0.000  0.000  0.999  0.999  0.002  0.002
20Sing?Sym  3.546  0.001  0.009  0.001  0.832  0.993  0.159  0.007
