state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.851  0.002  0.853  0.004  0.004  0.960  0.144  0.036
2Sing?Sym   3.306  1.103  0.625  0.618  0.274  0.281  0.110  0.110
3Sing?Sym   3.415  0.331  0.252  0.253  0.705  0.697  0.059  0.065
4Sing?Sym   3.638  0.002  0.003  0.017  0.952  0.919  0.045  0.064
5Sing?Sym   3.746  0.001  0.004  0.817  0.969  0.038  0.026  0.145
6Sing?Sym   3.789  0.005  0.832  0.203  0.005  0.547  0.163  0.250
7Sing?Sym   3.855  0.008  0.834  0.300  0.004  0.288  0.162  0.412
8Sing?Sym   3.942  0.035  0.876  0.800  0.003  0.102  0.122  0.099
9Sing?Sym   3.994  0.004  0.002  0.065  0.966  0.683  0.032  0.252
10Sing?Sym  4.072  0.001  0.839  0.127  0.004  0.453  0.157  0.420
11Sing?Sym  4.150  0.006  0.730  0.009  0.080  0.941  0.190  0.050
12Sing?Sym  4.221  0.009  0.019  0.168  0.953  0.346  0.027  0.486
13Sing?Sym  4.271  0.001  0.865  0.798  0.008  0.060  0.128  0.143
14Sing?Sym  4.327  0.011  0.012  0.046  0.819  0.833  0.169  0.122
15Sing?Sym  4.365  0.011  0.801  0.110  0.049  0.647  0.150  0.243
16Sing?Sym  4.375  0.125  0.077  0.108  0.800  0.607  0.127  0.289
17Sing?Sym  4.462  0.068  0.180  0.058  0.528  0.775  0.293  0.168
18Sing?Sym  4.529  0.086  0.236  0.032  0.489  0.881  0.279  0.091
19Sing?Sym  4.599  0.048  0.487  0.026  0.318  0.912  0.198  0.065
20Sing?Sym  4.630  0.007  0.818  0.858  0.043  0.026  0.147  0.124
