state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.065  0.000  0.927  0.000  0.000  0.998  0.073  0.002
2Sing?Sym   1.916  0.002  0.043  0.000  0.074  0.998  0.884  0.002
3Sing?Sym   2.213  0.923  0.002  0.001  1.022  1.023  0.007  0.006
4Sing?Sym   2.292  0.001  0.827  0.000  0.006  0.998  0.167  0.002
5Sing?Sym   2.709  0.011  0.925  0.010  0.000  0.742  0.075  0.248
6Sing?Sym   2.743  0.000  0.926  0.000  0.000  0.993  0.074  0.007
7Sing?Sym   2.849  0.001  0.001  0.000  0.345  0.997  0.654  0.003
8Sing?Sym   2.914  0.000  0.968  0.000  0.000  0.998  0.032  0.002
9Sing?Sym   2.935  0.000  0.965  0.000  0.001  0.998  0.034  0.002
10Sing?Sym  3.001  0.000  0.992  0.000  0.000  0.998  0.008  0.002
11Sing?Sym  3.037  0.916  0.911  0.677  0.003  0.076  0.091  0.252
12Sing?Sym  3.096  0.000  0.004  0.000  0.604  0.995  0.392  0.005
13Sing?Sym  3.122  0.000  0.000  0.000  0.979  0.998  0.020  0.001
14Sing?Sym  3.194  0.000  0.007  0.000  0.666  0.998  0.328  0.002
15Sing?Sym  3.212  0.139  0.904  0.162  0.001  0.237  0.096  0.601
16Sing?Sym  3.267  0.000  0.012  0.000  0.808  0.993  0.180  0.007
17Sing?Sym  3.302  0.000  0.927  0.000  0.000  0.996  0.073  0.004
18Sing?Sym  3.305  0.000  0.005  0.000  0.978  0.998  0.017  0.001
19Sing?Sym  3.345  0.000  0.005  0.001  0.980  0.917  0.016  0.083
20Sing?Sym  3.378  0.000  0.492  0.000  0.088  0.998  0.420  0.002
