state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.704  0.122  1.001  1.725  1.446  0.925  1.446  0.776  1.002  1.009 10.612
2Sing?Sym   2.973  0.958  1.018  1.502  1.854  0.426  1.758  0.165  1.157  1.365  5.823
3Sing?Sym   3.192  0.053  1.002  1.811  1.727  0.860  1.729 -0.473  1.020  1.068  9.910
4Sing?Sym   3.439  0.307  1.018  2.086  1.433  0.262  1.361 -0.034  1.253  1.619  4.707
5Sing?Sym   3.614  0.001  1.000  1.978  1.935  0.504  1.736  0.369  1.626  1.958  6.844
6Sing?Sym   3.687  0.006  1.000  1.926  2.083  0.614  1.954  0.575  1.672  2.123  7.381
7Sing?Sym   3.863  0.014  1.002  1.458  1.825  0.471  1.745  0.291  1.250  1.519  6.303
8Sing?Sym   3.924  0.003  1.000  1.783  2.041  0.727  2.118  0.624  1.235  1.518  8.417
9Sing?Sym   4.005  0.003  1.000  1.769  2.590  0.306  1.538  0.161  2.149  2.349  4.483
10Sing?Sym  4.036  0.001  1.000  1.696  2.580  0.394  1.832  0.275  1.864  2.298  5.499
11Sing?Sym  4.227  0.001  1.000  1.778  1.722  0.893  1.537  0.675  1.286  1.631  9.584
12Sing?Sym  4.323  0.036  1.001  2.054  1.823  0.440  1.634  0.040  2.184  2.610  6.324
13Sing?Sym  4.335  0.043  1.002  1.960  2.011  0.558  1.762 -0.178  1.985  2.534  7.542
14Sing?Sym  4.368  0.008  1.000  1.956  2.145  0.701  1.845 -0.254  2.321  2.763  8.458
15Sing?Sym  4.405  0.018  1.000  1.969  2.407  0.832  1.991  0.135  1.585  2.058  8.943
16Sing?Sym  4.466  0.081  1.003  2.008  2.243  0.681  2.003 -0.147  1.920  2.289  8.142
17Sing?Sym  4.555  0.017  1.003  1.688  2.037  0.480  1.879 -0.419  1.806  2.407  5.120
18Sing?Sym  4.559  0.026  1.002  2.181  2.330  0.574  2.250 -0.154  2.268  2.827  6.258
19Sing?Sym  4.589  0.165  1.005  2.075  2.563  0.503  2.206 -0.158  3.018  3.622  5.774
20Sing?Sym  4.671  0.018  1.002  2.035  2.720  0.619  2.473 -0.458  1.522  2.112  6.145
