state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.851  0.002  1.000  1.662  1.211  0.988  1.196  0.742  1.000  1.002 13.173
2Sing?Sym   3.306  1.103  1.009  1.493  2.141  0.202  1.308  0.007  1.751  2.113  4.870
3Sing?Sym   3.415  0.331  1.015  1.813  1.845  0.121  1.123  0.005  1.934  2.398  4.492
4Sing?Sym   3.638  0.002  1.000  2.045  1.141  0.125  1.142  0.004  1.921  2.000  4.133
5Sing?Sym   3.746  0.001  1.000  1.675  1.255  0.958  1.222 -0.694  1.016  1.053 12.870
6Sing?Sym   3.789  0.005  1.000  1.688  1.936  0.787  1.763  0.716  1.011  1.042 10.571
7Sing?Sym   3.855  0.008  1.000  1.720  2.152  0.667  1.887  0.784  1.053  1.155  8.273
8Sing?Sym   3.942  0.035  1.001  1.274  1.400  0.275  1.366  0.054  1.212  1.415  5.799
9Sing?Sym   3.994  0.004  1.000  2.108  1.471  0.336  1.367  0.158  1.099  1.226  4.549
10Sing?Sym  4.072  0.001  1.000  1.805  1.944  0.820  1.770  0.974  1.043  1.125 11.374
11Sing?Sym  4.150  0.006  1.000  1.751  1.432  0.921  1.359  0.581  1.078  1.207 12.624
12Sing?Sym  4.221  0.009  1.000  2.163  1.851  0.666  1.534  0.310  1.065  1.187  7.492
13Sing?Sym  4.271  0.001  1.000  1.304  1.412  0.302  1.410  0.082  1.502  1.756  6.886
14Sing?Sym  4.327  0.011  1.001  2.116  1.419  0.330  1.471 -0.081  1.357  1.586  4.429
15Sing?Sym  4.365  0.011  1.000  1.741  1.770  0.846  1.709  0.785  1.145  1.379 11.732
16Sing?Sym  4.375  0.125  1.005  2.115  1.849  0.537  1.882  0.130  2.143  2.485  5.892
17Sing?Sym  4.462  0.068  1.001  2.112  2.053  0.647  2.046 -0.004  1.819  2.096  7.355
18Sing?Sym  4.529  0.086  1.004  2.051  1.995  0.591  1.802  0.016  1.716  2.096  6.527
19Sing?Sym  4.599  0.048  1.003  1.876  1.933  0.721  1.633  0.327  1.398  1.799  8.321
20Sing?Sym  4.630  0.007  1.008  1.303  1.409  0.240  1.327 -0.063  1.624  2.154  4.565
