state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.065  0.000  1.000  1.574  1.081  1.000  1.075  0.855  1.000  1.000 18.563
2Sing?Sym   1.916  0.002  1.000  2.422  1.137  0.925  1.121 -0.839  1.001  1.006 12.232
3Sing?Sym   2.213  0.923  1.030  2.005  1.015  0.008  1.007  0.000  1.055  1.164  5.322
4Sing?Sym   2.292  0.001  1.000  1.671  1.205  0.993  1.171  0.662  1.000  1.002 18.190
5Sing?Sym   2.709  0.011  1.000  1.694  1.397  0.972  1.356  1.089  1.002  1.011 16.187
6Sing?Sym   2.743  0.000  1.000  1.577  1.086  0.999  1.081  0.859  1.000  1.001 18.580
7Sing?Sym   2.849  0.001  1.000  2.328  1.418  0.655  1.298 -0.649  1.007  1.026  8.785
8Sing?Sym   2.914  0.000  1.000  1.533  1.035  1.000  1.034  0.938  1.000  1.000 18.949
9Sing?Sym   2.935  0.000  1.000  1.535  1.038  0.999  1.037  0.934  1.000  1.000 17.543
10Sing?Sym  3.001  0.000  1.000  1.509  1.010  1.000  1.010  0.987  1.000  1.000 20.188
11Sing?Sym  3.037  0.916  1.005  1.380  1.559  0.340  1.431  0.393  1.068  1.203  7.808
12Sing?Sym  3.096  0.000  1.000  2.197  1.469  0.399  1.326 -0.384  1.050  1.154  9.502
13Sing?Sym  3.122  0.000  1.000  2.011  1.023  0.022  1.022 -0.019  1.021  1.070  6.498
14Sing?Sym  3.194  0.000  1.000  2.161  1.411  0.335  1.294 -0.318  1.059  1.177  8.760
15Sing?Sym  3.212  0.139  1.001  1.815  1.734  0.794  1.584  1.246  1.027  1.089 12.033
16Sing?Sym  3.267  0.000  1.000  2.088  1.237  0.198  1.198 -0.161  1.211  1.465  7.525
17Sing?Sym  3.302  0.000  1.000  1.575  1.082  1.000  1.077  0.857  1.000  1.000 18.367
18Sing?Sym  3.305  0.000  1.000  2.007  1.024  0.024  1.024 -0.011  1.053  1.158  6.620
19Sing?Sym  3.345  0.000  1.000  2.047  1.112  0.103  1.110  0.071  1.269  1.511  6.015
20Sing?Sym  3.378  0.000  1.000  1.965  1.675  0.912  1.406  0.074  1.022  1.069 15.990
